"# Backtest method: MAX EXPECTED PROFIT, target-spend sized (win_rate × avg_payoff)  (CALLs)"
"# Position sizing: contracts = ceil($1.00 / mean(entry_frame)), min 1. Frames are arbitrary [start, end] windows; price = mean of the 1-min closes inside the frame."
# Lookback = 730 calendar days
# Session window = 9:30AM–4:00PM ET (full regular session)
# Generated 2026-06-27 23:34:47  |  data source: Alpaca Markets API
# P&L $ assumes 1 contract = 100 shares
# Optimal entry frame = 9:40–9:45 AM  |  Optimal exit frame = 1:45–1:52 PM

DETAIL — one row per Friday (ATM call at the optimal frames)
date,opt_type,contract_symbol,strike,source,entry_frame,entry_price,exit_frame,exit_price,payoff_per_share,contracts,cost_dollars,pnl_dollars,profitable,note
2024-06-28,C,TSLA240628C00200000,200.0,REAL,9:40–9:45 AM,2.478,1:45–1:52 PM,0.1471,-2.3309,1,247.8,-233.09,False,
2024-07-05,C,TSLA240705C00252500,252.5,REAL,9:40–9:45 AM,0.8,1:45–1:52 PM,0.2014,-0.5986,2,160.0,-119.71,False,
2024-07-12,C,TSLA240712C00237500,237.5,REAL,9:40–9:45 AM,6.256,1:45–1:52 PM,11.9,5.644,1,625.6,564.4,True,
2024-07-19,C,TSLA240719C00247500,247.5,REAL,9:40–9:45 AM,2.22,1:45–1:52 PM,0.0417,-2.1783,1,222.0,-217.83,False,
2024-07-26,C,TSLA240726C00222500,222.5,REAL,9:40–9:45 AM,0.868,1:45–1:52 PM,0.4629,-0.4051,2,173.6,-81.03,False,
2024-08-02,C,TSLA240802C00212500,212.5,REAL,9:40–9:45 AM,4.054,1:45–1:52 PM,0.0857,-3.9683,1,405.4,-396.83,False,
2024-08-09,C,TSLA240809C00195000,195.0,REAL,9:40–9:45 AM,3.856,1:45–1:52 PM,5.1133,1.2573,1,385.6,125.73,True,
2024-08-16,C,TSLA240816C00212500,212.5,REAL,9:40–9:45 AM,4.862,1:45–1:52 PM,4.8983,0.0363,1,486.2,3.63,True,
2024-08-23,C,TSLA240823C00215000,215.0,REAL,9:40–9:45 AM,3.23,1:45–1:52 PM,4.472,1.242,1,323.0,124.2,True,
2024-08-30,C,TSLA240830C00210000,210.0,REAL,9:40–9:45 AM,1.188,1:45–1:52 PM,1.7171,0.5291,1,118.8,52.91,True,
2024-09-06,C,TSLA240906C00232500,232.5,REAL,9:40–9:45 AM,0.648,1:45–1:52 PM,0.01,-0.638,2,129.6,-127.6,False,
2024-09-13,C,TSLA240913C00227500,227.5,REAL,9:40–9:45 AM,5.41,1:45–1:52 PM,2.3086,-3.1014,1,541.0,-310.14,False,
2024-09-20,C,TSLA240920C00240000,240.0,REAL,9:40–9:45 AM,2.504,1:45–1:52 PM,0.4471,-2.0569,1,250.4,-205.69,False,
2024-09-27,C,TSLA240927C00257500,257.5,REAL,9:40–9:45 AM,1.694,1:45–1:52 PM,2.2129,0.5189,1,169.4,51.89,True,
2024-10-04,C,TSLA241004C00247500,247.5,REAL,9:40–9:45 AM,2.628,1:45–1:52 PM,2.3843,-0.2437,1,262.8,-24.37,False,
2024-10-11,C,TSLA241011C00220000,220.0,REAL,9:40–9:45 AM,2.352,1:45–1:52 PM,0.8143,-1.5377,1,235.2,-153.77,False,
